Порядковое число администрации и комитета,Название организации  правообладателя,"Вид активности, вид спорта",Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Иные услуги (перечень)
3.0024,"СПб ГБУ ""Центр спорта Выборгского района""",Баскетбол,ул. Жака Дюкло,"Участок 1, юго-восточнее дома 8, корпус 1, литера А","60.010383,30.356908","Станция метро Политехническая, остановка транспорта ул. Жака Дюкло, 8",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,True,False,False,
3.0025,"СПб ГБУ ""Центр спорта Выборгского района""",ОФП,пр. Просвещения,"Участок 3, севернее дома 32, корпус 1, литера А по пр. Просвещения","60.054557,30.331433","Станция метро Проспект Просвещения, остановка транспорта ст. Метро Проспект Просвещения",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0026,"СПб ГБУ ""Центр спорта Выборгского района""",Баскетбол волейбол,пр. Просвещения,"Участок 2, севернее дома 32, корп.1, литера А по пр. Просвещения","60.054616,30.330526","Станция метро Проспект Просвещения, остановка транспорта ст. Метро Проспект Просвещения",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0027,"СПб ГБУ ""Центр спорта Выборгского района""",Футбол,пр. Художников,"Участок 1, восточнее дома 43/14, литера А","60.053468,30.359924","Станция метро Проспект Просвещения, остановка транспорта Сиреневый бульвар",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,True,False,False,
3.0028,"СПб ГБУ ""Центр спорта Выборгского района""",Баскетбол ОФП,пр. Культуры,"Участок 2, восточнее дома 22, корпус 2","60.046996,30.373812","Станция метро Проспект Просвещения, остановка транспорта пр. Культуры, 26",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,True,False,False,
3.0029,"СПб ГБУ ""Центр спорта Выборгского района""",Баскетбол ОФП,пр. Культуры,"Участок 1, западнее дома 26, корпус 1, литера А","60.051043,30.377271","Станция метро Проспект Просвещения, остановка транспорта пр. Культуры, 26",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,True,False,False,
3.0030,"СПб ГБУ ""Центр спорта Выборгского района""",Футбол,пр. Просвещения,"Участок 1, южнее дома 41, литера А","60.047236,30.357742","Станция метро Проспект Просвещения, остановка транспорта пр. Художников",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0031,"СПб ГБУ ""Центр спорта Выборгского района""","Футбол ОФП, настольный теннис",Учебный переулок,"Участок 1, восточнее дома 8, корпус 2, литера А","60.03893,30.338807","Станция метро Озерки, остановка транспорта Городская больница № 2",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0032,"СПб ГБУ ""Центр спорта Выборгского района""",ОФП,пр. Просвещения,"Участок 1, севернее дома 54, лит. А","60.048753,30.359474","Станция метро Проспект Просвещения, остановка транспорта ул. Кустодиева",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0033,"СПб ГБУ ""Центр спорта Выборгского района""",Футбол ОФП,пр. Просвещения,"Участок 1, севернее дома 22, корпус 1 по пр. Просвещения","60.05704,30.319647","Станция метро Проспект Просвещения, остановка транспорта ул. Симонова",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0034,"СПб ГБУ ""Центр спорта Выборгского района""","Баскетбол ОФП, футбол",пр. Культуры,"Участок 1, западнее дома 12, корпус 1, лит. А","60.039935,30.366956","Станция метро Проспект Просвещения, остановка транспорта пр. Культуры",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,True,False,False,
3.0035,"СПб ГБУ ""Центр спорта Выборгского района""",Баскетбол,ул. Симонова,"Участок 2, юго-восточнее дома 12/9 по ул. Симонова","60.061068,30.325351","Станция метро Проспект Просвещения, остановка транспорта ул. Симонова",Выборгский,8(812) 591-66-36,Http://gu319.site.gov.spb.ru/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0036,ГБУ спортивная школа «Выборжанин»,Уличные тренажеры,Северный пр.,"Участок 3, восточнее дома 10, корпус 1, литера А по Северному пр.","60.031466,30.333698","Станция метро Озерки, остановка транспорта Северный пр. Д. 5",Выборгский,8(812) 409-71-47,Www.viborjanin.ru,Работающий,Нет,Да,False,False,False,False,
3.0037,СПб ГБУ «Дом молодежи «ФОРПОСТ» Выборгского района,"Футбол, баскетбол",пр.Тореза,"Участок 2, северо-восточнее дома 39, корпус 1, литера А","60.00977,30.351056","Станция метро пл. Мужества, остановка транспорта Светлановский пр.",Выборгский,8(812)542-24-07,Http://дм-форпост.рф/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0038,СПб ГБУ «Дом молодежи «ФОРПОСТ» Выборгского района,"Футбол, тренажеры",пр.Тореза,"Участок 1, Юго-восточнее дома 35, корпус 1, литера Б","60.007981,30.353737","Станция метро пл. Мужества, остановка транспорта Институтский пр.",Выборгский,8(812)542-24-07,Http://дм-форпост.рф/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
3.0039,СПб ГБУ «Дом молодежи «ФОРПОСТ» Выборгского района,Футбол,пр.Пархоменко,"Участок 1, Северо-восточнее дома 26, литера Б","60.000037,30.342619","Станция метро пл. Мужества, остановка транспорта Институтский пр.",Выборгский,8(812)542-24-07,Http://дм-форпост.рф/,Работающий,08:00 - 22:00,Частично доступно всем,False,False,False,False,
4.001,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Хоккей,"Гражданский пр., д.127","Г. Санкт-Петербург, Гражданский пр-т Участок 1 (восточнее дома 127 лит А, по Гражданскому пр.)","60.037944,30.426163","Ст. Метро ""Гражданский пр""",Калининский,8-905-285-19-55,Https://vk.com/club208863582,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.002,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Универсальная площадка,"Гражданский пр.,  д.112, корп.1","Г. Санкт-Петербург, пр. Гражданский, участок 7, (западнее дома 112 к1 по Гражданскому пр.)","60.031796,30.414629","Ст. Метро ""Гражданский пр""",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.003,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Футбол,"ул. Лужская, д. 10","Г. Санкт-Петербург ул. Лужская, участок 3 (восточнее дома 10, корп. 2 по ул. Лужская)","60.024958,30.427062","Ст. Метро ""Гражданский пр"", Маршрутное такси К-188",Калининский,8-905-285-19-55,Https://vk.com/public203979330,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.004,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Мини-футбол,"пр. Просвещения, д. 106, корп.2","Г. Санкт-Петербург пр. Просвещения, уч.2 (западнее д.106, к.2 лит А по пр. Просвещения)","60.035176,30.428526","Ст. Метро ""Гражданский пр"", трамвай 61, 100",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.005,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""","Футбол, тренажеры","ул. Черкасова, д. 8","Г. Санкт-Петербург, ул. Черкасова, уч.1 (внутриквартальный сквер ул. Черкасова д.8, к.1,3,4)","60.02757,30.421833","Ст. Метро ""Гражданский пр"", автобус 93, 139",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.006,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Хоккей,"ул. Черкасова, д. 12, корп. 1","Г. Санкт-Петербург, ул.Черкасова, участок 3, (севернее дома 12 к1 по ул. Черкасова)","60.030375,30.424573","Ст. Метро ""Гражданский пр"", автобус 93, 139",Калининский,8-905-285-19-55,Https://vk.com/public209705037,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.007,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"ул. Киришская, д. 4","Г. Санкт-Петербург,пр. Просвещения, участок 145, (севернее дома 4 литера А по ул. Киришской)","60.03287,30.426316","Ст. Метро ""Гражданский пр"", трамвай 61, 100",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.008,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"пр. Луначарского, д. 84, корп.4","Г. Санкт-Петербург пр. Луначарского, уч.1 (северо-западнее д. 84, корп.4 по пр. Луначарского)","60.033796,30.384149","Ст. Метро ""Гражданский пр"", автобус 176. Ст. Метро ""Академическая"", Автобус 69, 178, 283",Калининский,8-905-285-19-55,Https://vk.com/public203808480,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.009,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"пр. Луначарского, д. 86, корп.2","Г. Санкт-Петербург пр. Луначарского, уч.1 (внутриквартальный сквер пр. Луначарского, д.86 к2,3)","60.033751,30.386296","Ст. Метро ""Гражданский пр"", автобус 176. Ст. Метро ""Академическая"", Автобус 69, 178, 283",Калининский,8-905-285-19-55,Https://vk.com/public203808480,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.010,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Хоккей,"Светлановский пр., д. 97","Г. Санкт-Петербург, пр. Светлановский, участок 5, (западнее дома 97 по Светлановскому пр.)","60.034641,30.396052","Ст. Метро ""Гражданский пр"", автобус 153, 176. Ст. Метро ""Академическая"", автобус 102",Калининский,8-905-285-19-55,Https://vk.com/public203957835,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.011,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Хоккей,"Суздальский пр., д. 73, литера А","Г. Санкт-Петербург, пр. Суздальский, участок 5 (западнее дома 73 к 1 по Суздальскому пр.)","60.049101,30.39589","Ст. Метро ""Гражданский пр"", автобус 61, 93, 193",Калининский,8-905-285-19-55,Https://vk.com/public203487566,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.012,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""","Футбол, баскетбол, тренажеры","Учительская, ул., д. 15, корп. 1","Г. Санкт-Петербург, ул. Учительская, участок 3, (южнее дома 15, кор 1, по Учительской ул.)","60.032501,30.398504","Ст. Метро ""Академическая"", автобус 102",Калининский,8-905-285-19-55,Https://vk.com/public203325886,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.013,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""","Баскетбол, мини-футбол, волейбол","Учительская, ул., д. 9, корп. 3","Г. Санкт-Петербург пр. Светлановский, участок 1 (внутриквартальный сквер ул. Учительская д.9к3","60.032964,30.38944","Ст. Метро ""Академическая"", автобус 102",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.014,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""","Баскетбол, мини-футбол","ул. Ушинского, д. 20, корп. 1","Г. Санкт-Петербург ул. Ушинского, уч.1 (западнее д.20, к.1 по ул. Ушинского )","60.043934,30.415267","Ст. Метро ""Гражданский пр"", автобус 61, 93, 193",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.015,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"ул. Демьяна Бедного, д. 32, корп.1","Г. Санкт-Петербург, пр. Суздальский, участок 1 (северо-восточнее дома 32 к 1 по ул. Демьяна Бедного)","60.049545,30.390491","Ст. Метро ""Гражданский пр"", автобус 61, 93, 193",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.016,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Футбол,"пр. Культуры, д. 15, корп. 6","Г. Санкт-Петербург, пр. Культуры, участок 7, (восточнее дома 15 кор.6 лит А по пр. Культуры)","60.040982,30.377645","Ст. Метро ""Гражданский пр"" трамвай 100",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.017,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"пр. Культуры, д. 15, корп. 7","Г. Санкт-Петербург, пр. Культуры, участок 9, (севернее дома 15 кор. 7 лит А по пр. Культуры)","60.039571,30.377681","Ст. Метро ""Гражданский пр"" трамвай 100",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.018,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"пр. Культуры, д. 21, корп. 1","Г. Санкт-Петербург, ПР. Культуры, участок 7, (восточнее дома 21к1 по пр. Культуры)","60.046095,30.377519","Ст. Метро ""Гражданский пр"" трамвай 100",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.019,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"пр. Культуры, д. 21, корп. 4","Г. Санкт-Петербург ул. Демьяна Бедного, участок 1 (северо-восточнее д.21к4 по пр. Культуры)","60.046077,30.382209","Ст. Метро ""Гражданский пр"" трамвай 100, атобус 61, 93, 193",Калининский,8-905-285-19-55,Https://vk.com/public203485007,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.020,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Хоккей,"пр. Культуры, д. 9, корп. 2","Г. Санкт-Петербург, пр. Культуры, участок 8, (севернее дома 9 к2 по пр. Культуры)","60.037342,30.372489","Ст. Метро ""Академическая"", автобус 178, 283",Калининский,8-905-285-19-55,Https://vk.com/public203485841,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.021,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"Суздальский пр., д. 61, литера А","Г. Санкт-Петербург, пр. Суздальский, участок 6, (западнее дома 61, лит А по Суздальскому пр.)","60.051001,30.385838","Ст. Метро ""Гражданский пр"", автобус 61, 93, 193",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.022,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Хоккей,"ул. Академика Байкова, д. 5, корп. 2","Г. Санкт-Петербург, ул. Академика Байкова, участок 4, (юго-западнее д.5к2 по ул Ак. Байкова)","60.028218,30.370423","Ст. Метро ""Политехническая"", трамвай 9, 55, 61",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.023,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"ул. Вавиловых, д. 9, корп. 2","Г. Санкт-Петербург, Ул. Вавиловых, участок 3 (северо-восточнее дома 9 к2 по ул. Вавиловых)","60.019091,30.390464","Ст. Метро ""Академическая"", автобус 40, 94, 176, 283",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.024,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"ул. Вавиловых, д. 4, корп. 2","Г. Санкт-Петербург, ул. Вавиловых, участок 4 (юго-восточнее дома 4 к2 по ул. Вавиловых)","60.017013,30.383376","Ст. Метро ""Академическая"", автобус 40, 94, 176, 283",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.025,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"Тихорецкий пр., д. 25, корп. 5","Г. Санкт-Петербург Аллея Академика Глушко, участок 1 (восточнее дома 25 к5 по Тихорецкому пр.)","60.023735,30.371725","Ст. Метро ""Политехническая"", трамвай 9, 55, 61",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.026,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"пр. Науки, д. 8, корп. 1","Г. Санкт-Петербург пр. Науки, участок 1 (севернее дома 8 к1 лит А по пр. Науки)","60.015502,30.388775","Ст. Метро ""Академическая"", автобус 40, 94, 176, 283, трамвай 9, 57",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.027,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"ул. Софьи Ковалевской, д. 12, корп. 1","Г. Санкт-Петербург УЛ. Софьи Ковалевской, участок 1, (севернее дома 12, кор. 1 по ул. Софьи Ковалевской)","60.014333,30.411287","Ст. Метро ""Академическая"", автобус 176",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.028,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""","Баскетбол, волейбол, тренажеры","Северный пр., д. 63","Г. Санкт-Петербург, пр. Северный, участок 5, (северо-западнее дома 63, корп.4 по Северному пр.)","60.021627,30.399474","Ст. Метро ""Академическая"", автобус 40, 94",Калининский,8-905-285-19-55,Https://vk.com/public203674360,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.029,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Хоккей,"Тихорецкий пр., д. 9, корп. 6","Г. Санкт-Петербург, Тихорецкий пр-т, участок 1 (севернее дома 9 к 6 по Тихорецкому пр.)","60.014288,30.372938","Ст. Метро ""Политехническая"", трамвай 38, 55, 57, 61",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.030,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""","Хоккей, тренажеры","ул. Софьи Ковалевской, д. 11, корп. 3","Г. Санкт-Петербург, ул. Софьи Ковалевской, участок 1, (западнее дома 11 к3 по ул. Софьи Ковалевской)","60.014626,30.416641","Ст. Метро ""Академическая"", автобус 176",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.031,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Футбол,"ул. Бутлерова, д. 32","Г. Санкт-Петербург, ул. Бутлерова, участок 5, (западнее д.32 по ул. Бутлерова)","60.006341,30.40048","Ст. Метро ""Академическая"", автобус 61, 178",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.032,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""","Баскетбол, волейбол, тренажеры","Гражданский пр., д. 9, корп.6","Пр. Гражданский, участок 9, (юго-западнее дома 9, кор. 6 по Гражданскому пр.)","59.999134,30.389225","Ст. Метро ""Академическая"", автобус 40, 60, тролейбус 6, 31",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.033,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"Гражданский пр., д. 20","ПР. Гражданский, участок 8, (западнее дома 20, лит А по Гражданскому пр.)","60.003111,30.386862","Ст. Метро ""Академическая"", автобус 40, 60, тролейбус 6, 31",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.034,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Футбол,"ул. Верности, д. 10, корп. 3","Г. Санкт-Петербург ул. Верности, участок 6 (южнее дома 10, корп. 3. Лит. А по ул. Верности )","60.008153,30.407263","Ст. Метро ""Академическая"", автобус 61, 178",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.035,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Гимнастический городок,"пр. Маршала Блюхера, д. 14","Пр. Маршала Блюхера, участок 1 (севернее дома 14, лит А по пр. Маршала Блюхера)","59.980317,30.382155","Ст. Метро ""Лесная"" автобус 137, 185, тролейбус 18",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.036,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Футбол,"ул. Карпинского, д. 27, корп.2","Ул. Карпинского, участок 1, (восточнее дома 27к2)","60.009161,30.429397","Ст. Метро ""Академическая"", автобус 61, 78, 94, 176,",Калининский,8-905-285-19-55,Https://vk.com/public203487190,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.037,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""","Хоккей, тренажеры","Меншиковский пр, д. 15, корп.2","Меншиковский пр, уч. 2, (вост. Дома 15к2 по Меншиковскому пр.)","59.996043,30.432227","Ст. Метро ""Академическая"" автобус 102, 153, 183. Ст. Метро ""Площадь Ленина"" автобус 136, тролейбус 38",Калининский,8-905-285-19-55,Https://vk.com/public203488066,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.038,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"пр. Мечникова, дом 11","Пр. Мечникова, участок 6, (севернее дома 11, лит А по пр. Мечникова)","59.985003,30.415824","Ст. Метро ""Площадь Ленина"" автобус 33, 106, 107, 178",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.039,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Футбол,"пр. Мечникова, дом 17","Ул. Брюсовская, уч. 1 (севернее д.17 по пр. Мечникова)","59.986254,30.415357","Ст. Метро ""Площадь Ленина"" автобус 33, 106, 107, 178",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.040,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Гимнастический городок,"пр. Мечникова, дом 19","Пр. Мечникова, участок 5 (севернее дома 19, лит. А по пр. Мечникова)","59.98562,30.412958","Ст. Метро ""Площадь Ленина"" автобус 33, 106, 107, 178",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.041,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Кинологическая плошадка,ул. Печорская 10,"Печорская ул., участок 1 (северо-восточней дома 10 по Печорской улице)","59.996106,30.409239","Ст. Метро ""Академическая"", автобус 178. Ст. Метро "" Площадь Мужества"" автобус 80, 123",Калининский,8-905-285-19-55,Https://vk.com/public210116257,Работающая,По предварительной записи,No,False,True,False,False,No
4.042,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Площадка для экстремальных видов спорта,Ул. Руставели д.37,"Ул. Руставели д.37, участок 3 (восточнее дома 37, литера А по улице Руставели)","60.013011,30.435039","Ст. Метро ""Академическая"" автобус 61, 102, 153, 183. Ст. Метро ""Площадь Ленина"" автобус 136, тролейбус 38",Калининский,8-905-285-19-55,Https://vk.com/public203486690,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.043,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Многофункциональная площадка,Ул. Руставели д.37,"Ул. Руставели д.37, участок 2 (восточнее дома 37, литера А по улице Руставели)","60.013011,30.435039","Ст. Метро ""Академическая"" автобус 61, 102, 153, 183. Ст. Метро ""Площадь Ленина"" автобус 136, тролейбус 38",Калининский,8-905-285-19-55,Https://vk.com/public203486690,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.044,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Хоккей,"ул. Герасимовская, д. 14","Ул. Герасимовская, участок 2 (севернее д.14 по Герасимовской ул.)","59.981933,30.405682","Ст. Метро ""Площадь Ленина"" автобус 33, 107",Калининский,8-905-285-19-55,Https://vk.com/katok_y_doma,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.045,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"Кондратьевский пр., д. 85, корп. 2","Пр. Кондратьевский, участок 5, (восточнее дома 85 к.2 по Кондратьевскому пр.)","59.983355,30.400229","Ст. Метро ""Площадь Ленина"" автобус 178, Ст. Метро ""Лесная""105, 137, тролейбус 18",Калининский,8-905-285-19-55,Https://vk.com/public203485519,Работающая,ПОН-ВС 08.00-22.00,No,False,True,False,False,No
4.046,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Баскетбол,"пр. Металлистов, д. 87","Пр. Металлистов, Участок 1, (юго-восточнее д.87 по пр. Металлистов)","59.971564,30.400974","Ст. Метро ""Площадь Ленина"" тролейбус 43",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.047,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Гимнастический городок,"Пискаревский пр., д. 24, литера А","Пискаревский пр-т, участок 1 (севернее д.24 лит А по Пискаревскому пр.)","59.971326,30.410847","Ст. Метро ""Площадь Ленина"" автобус 133",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.048,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Футбол,"Полюстровский пр., д. 19, корп. 2","Пр. Полюстровский, участок 5 (севернее д.19 кор2 по пр. Полюстровскому)","59.966678,30.403077","Ст. Метро ""Площадь Ленина"" автобус 37, 106, 107, 133",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
4.049,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Калининского района""",Тренажеры,"ул. Федосеенко, д. 19","Ул. Федосеенко, участок 2 (восточнее дома 19 по ул. Федосеенко)","59.973158,30.394812","Ст. Метро ""Площадь Ленина"" автобус 107, тролейбус 43",Калининский,8-905-285-19-55,Нет,Работающая,ПОН-ВС 08.00-22.00,No,False,False,False,False,No
5.0001,"СПб ГБУ ""ЦФКиС ""Нарвская застава""","Мини-футбол, баскетбол, волейбол","Автовская ул, д.16","Автовская ул., у д.16","59.869108,30.268432",Автово,Кировский,746-58-28,Нttp://Nz-sport.ru/,Работающий,Круглосуточно свободный доступ,Да,False,False,False,False,
5.0002,"СПб ГБУ ""ЦФКиС ""Нарвская застава""","Мини-футбол, стритбол","Балтийская ул, д.17","Балтийская ул., у д.17","59.898048,30.283713",Нарвская,Кировский,746-58-28,Нttp://Nz-sport.ru/,Работающий,Круглосуточно свободный доступ,Да,False,False,False,False,
